PLT_CN,FPAG,STANDPLOT_CN
174763655020004,CES3,174763655020004_3
174763655020004,CES3,174763655020004_4
174763659020004,CMS2,174763659020004_1
174763659020004,CMS2,174763659020004_2
174763659020004,CMS2,174763659020004_3
174763659020004,CMS2,174763659020004_4
174763660020004,CES2,174763660020004_1
174763660020004,CES2,174763660020004_2
174763660020004,CES2,174763660020004_3
174763660020004,CES2,174763660020004_4
174763685020004,CDG1,174763685020004_1
174763685020004,CDG1,174763685020004_2
174763685020004,CDG1,174763685020004_3
174763685020004,CDG1,174763685020004_4
174763686020004,CFS2,174763686020004_1
174763686020004,CFS2,174763686020004_2
174763686020004,CFS2,174763686020004_3
174763686020004,CFS2,174763686020004_4
174763699020004,CFS2,174763699020004_1
174763699020004,CFS2,174763699020004_2
174763699020004,CFS2,174763699020004_3
174763699020004,CFS2,174763699020004_4
174763706020004,CHF2,174763706020004_1
174763706020004,CHF2,174763706020004_2
174763706020004,CHF2,174763706020004_3
174763706020004,CHF2,174763706020004_4
174763707020004,CWS2,174763707020004_1
174763707020004,CWS2,174763707020004_2
174763707020004,CWS2,174763707020004_3
174763707020004,CWS2,174763707020004_4
174763722020004,CDS6,174763722020004_1
174763722020004,CDS6,174763722020004_2
174763722020004,CDS6,174763722020004_3
174763722020004,CDS6,174763722020004_4
174763723020004,CEG3,174763723020004_1
174763723020004,CEG3,174763723020004_2
174763723020004,CEG3,174763723020004_3
174763723020004,CEG3,174763723020004_4
174763728020004,CWS5,174763728020004_1
174763728020004,CWS5,174763728020004_2
174763728020004,CWS5,174763728020004_3
174763728020004,CWS5,174763728020004_4
174763764020004,CHS1,174763764020004_1
174763764020004,CHS1,174763764020004_2
174763764020004,CHS1,174763764020004_3
174763764020004,CHS1,174763764020004_4
174763770020004,CES4,174763770020004_1
174763770020004,CES4,174763770020004_2
174763770020004,CES4,174763770020004_3
174763770020004,CES4,174763770020004_4
174763780020004,CEF2,174763780020004_1
174763780020004,CEF2,174763780020004_2
174763780020004,CEF2,174763780020004_3
174763780020004,CEF2,174763780020004_4
174763784020004,CFF2,174763784020004_1
174763784020004,CFF2,174763784020004_2
174763784020004,CFF2,174763784020004_3
174763784020004,CFF2,174763784020004_4
174763785020004,CFS2,174763785020004_1
174763785020004,CFS2,174763785020004_2
174763785020004,CFS2,174763785020004_3
174763785020004,CFS2,174763785020004_4
174763787020004,CDS6,174763787020004_1
174763787020004,CDS6,174763787020004_2
